,F,C,R50
1625,31,0,0
1626,0,100,0
1627,88,9,0
1628,30,70,0
1629,76,1,0
1630,100,0,0
1631,56,0,0
1632,50,0,0
1633,47,0,0
1634,35,1,0
1635,49,1,0
1636,23,0,0
1637,16,0,0
1638,30,1,0
1639,36,0,0
1640,43,0,0
1641,13,0,0
1642,22,0,0
1643,50,0,0
1644,93,2,0
1645,78,22,0
1646,87,0,0
1647,0,100,0
1648,98,2,0
1649,100,0,0
1650,100,0,0
1651,99,1,0
1652,6,0,0
1653,84,0,0
1654,78,0,0
1655,99,0,0
1656,100,0,0
1657,12,0,0
1658,19,0,0
